Velocity/(rpm),Current/(A),Current/(A),Current/(A),Angle/(rad),Angle/(rad),Tem/(Nm),Current/(A),Current/(A),Current/(A),Current/(A),Force/(N),Force/(N),Force/(N),Force/(N),Displacement/(um),Displacement/(um),Velocity/(m/s),Velocity/(m/s),Angle/(rad)
414.039485,0.000000,14.947943,0.000000,0.169200,0.169200,0.050663,0.000000,0.000000,0.000000,0.000000,0.455699,0.006857,-0.228448,0.091336,-0.194141,-0.000091,-0.000053,0.000004,-0.104720
418.636504,0.000000,14.988034,0.000000,0.170072,0.170072,0.050881,0.000000,0.000000,0.000000,0.000000,0.455699,0.006857,-0.235458,0.070003,-0.195211,-0.000020,-0.000056,0.000003,-0.104720
423.224861,0.000000,15.027550,0.000000,0.170954,0.170954,0.051094,0.000000,0.000000,0.000000,0.000000,0.455699,0.006857,-0.242298,0.049575,-0.196345,0.000020,-0.000059,0.000001,-0.104720
427.808791,0.000000,15.066042,0.000000,0.171845,0.171845,0.051299,0.000000,0.000000,0.000000,0.000000,0.469242,-0.004722,-0.248988,0.029978,-0.197550,0.000008,-0.000063,-0.000002,-0.104720
432.392440,0.000000,15.103078,0.000000,0.172746,0.172746,0.051495,0.000000,0.000000,0.000000,0.000000,0.469242,-0.004722,0.219986,0.284235,-0.198801,-0.000058,-0.000062,-0.000004,-0.104720
436.965970,0.000000,15.041899,0.000000,0.173657,0.173657,0.051015,0.000000,0.000000,0.000000,0.000000,0.469242,-0.004722,-0.265764,-0.022215,-0.200016,-0.000152,-0.000060,-0.000005,-0.104720
441.534977,0.000000,14.883274,0.000000,0.174577,0.174577,0.049886,0.000000,0.000000,0.000000,0.000000,0.469242,-0.004722,0.195855,0.223764,-0.201183,-0.000288,-0.000055,-0.000006,-0.104720
446.096770,0.000000,14.919379,0.000000,0.175507,0.175507,0.050065,0.000000,0.000000,0.000000,0.000000,0.469242,-0.004722,0.187680,0.192540,-0.202215,-0.000444,-0.000048,-0.000008,-0.104720
450.646172,0.000000,14.955175,0.000000,0.176446,0.176446,0.050239,0.000000,0.000000,0.000000,0.000000,0.492481,0.007387,0.180046,0.162627,-0.203111,-0.000644,-0.000041,-0.000011,-0.104720
455.196932,0.000000,14.989305,0.000000,0.177395,0.177395,0.050401,0.000000,0.000000,0.000000,0.000000,0.492481,0.007387,0.172833,0.133988,-0.203918,-0.000856,-0.000038,-0.000010,-0.104720
459.735009,0.000000,15.023218,0.000000,0.178354,0.178354,0.050558,0.000000,0.000000,0.000000,0.000000,0.492481,0.007387,0.166002,0.106631,-0.204687,-0.001039,-0.000038,-0.000007,-0.104720
464.273353,0.000000,15.055578,0.000000,0.179321,0.179321,0.050704,0.000000,0.000000,0.000000,0.000000,0.492481,0.007387,0.159416,0.080573,-0.205481,-0.001128,-0.000040,-0.000002,-0.104720
468.793198,0.000000,14.898403,0.000000,0.180299,0.180299,0.049577,0.000000,0.000000,0.000000,0.000000,0.492481,0.007387,0.147788,0.055038,-0.206319,-0.001131,-0.000042,0.000001,-0.104720
473.306823,0.000000,15.120112,0.000000,0.181286,0.181286,0.050985,0.000000,0.000000,0.000000,0.000000,0.474196,0.012122,0.146964,0.032092,-0.207210,-0.001075,-0.000045,0.000004,-0.104720
477.805575,0.000000,14.963655,0.000000,0.182282,0.182282,0.049856,0.000000,0.000000,0.000000,0.000000,0.474196,0.012122,0.135925,0.009360,-0.208160,-0.000984,-0.000048,0.000005,-0.104720
482.308843,0.000000,14.900413,0.000000,0.183287,0.183287,0.049355,0.000000,0.000000,0.000000,0.000000,0.474196,0.012122,0.127696,-0.011913,-0.209176,-0.000882,-0.000052,0.000005,-0.104720
486.785511,0.000000,15.025873,0.000000,0.184302,0.184302,0.050105,0.000000,0.000000,0.000000,0.000000,0.474196,0.012122,0.124683,-0.032425,-0.210266,-0.000793,-0.000055,0.000004,-0.104720
491.270239,0.000000,14.962223,0.000000,0.185327,0.185327,0.049594,0.000000,0.000000,0.000000,0.000000,0.474196,0.012122,0.116793,-0.051721,-0.211436,-0.000736,-0.000060,0.000001,-0.104720
495.748047,0.000000,14.898403,0.000000,0.186361,0.186361,0.049083,0.000000,0.000000,0.000000,0.000000,0.499616,-0.004537,0.109070,-0.070024,-0.212691,-0.000733,-0.000064,-0.000002,-0.104720
500.209987,0.000000,15.111908,0.000000,0.187404,0.187404,0.050411,0.000000,0.000000,0.000000,0.000000,0.499616,-0.004537,0.589527,0.188085,-0.214011,-0.000786,-0.000063,-0.000002,-0.104720
